gt_relation_index,subject_object_id,object_object_id,predicate,subject_pred_original_id,object_pred_original_id,hit_at_1
0,27,4,on,-1,35,0
1,46,4,on,-1,35,0
2,17,4,on,3,35,0
3,18,5,on,30,25,0
4,5,9,with,25,4,0
5,5,12,with,25,37,0
6,5,13,with,25,38,0
7,5,3,with,25,57,0
8,5,48,with,25,49,0
9,5,7,with,25,43,0
10,5,6,with,25,29,0
11,5,11,with,25,26,0
12,11,9,near,26,4,0
13,9,11,near,4,26,0
14,11,6,near,26,29,0
15,6,11,near,29,26,0
16,6,7,near,29,43,0
17,7,6,near,43,29,0
18,7,48,near,43,49,0
19,48,7,near,49,43,0
20,48,3,near,49,57,0
21,3,48,near,57,49,0
22,3,13,near,57,38,0
23,13,3,near,38,57,0
24,13,12,near,38,37,0
25,12,13,near,37,38,0
26,12,9,near,37,4,0
27,9,12,near,4,37,0
28,14,5,on,46,25,0
29,14,18,near,46,30,0
30,18,14,near,30,46,0
