gt_relation_index,subject_object_id,object_object_id,predicate,subject_pred_original_id,object_pred_original_id,hit_at_1
0,51,27,with,31,45,0
1,51,10,with,31,49,0
2,51,9,with,31,43,0
3,51,76,with,31,42,0
4,51,16,with,31,34,0
5,51,100,with,31,28,0
6,51,98,with,31,21,0
7,51,72,with,31,23,0
8,22,14,on,0,6,0
9,61,14,on,2,6,0
10,83,14,on,3,6,0
11,54,14,on,20,6,0
12,14,15,near,6,8,0
13,15,14,near,8,6,0
14,25,54,near,19,20,0
15,14,25,near,6,19,0
16,25,14,near,19,6,0
17,25,8,near,19,-1,0
18,8,25,near,-1,19,0
