gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,2,box,-1,0,,,
1,3,chair,57,680,2,,
2,4,shelf,35,682,2,,
3,5,table,25,6028,1,,
4,6,chair,29,1104,2,,
5,7,chair,43,905,2,,
6,9,chair,4,1932,2,,
7,10,window,2,2734,7,,
8,11,chair,26,1560,2,,
9,12,chair,37,589,2,,
10,13,chair,38,790,2,,
11,14,vase,46,429,5,,
12,17,vase,3,539,1,,
13,18,plate,30,690,26,,
14,19,curtain,-1,0,,,
15,22,box,-1,0,,,
16,24,box,-1,0,,,
17,26,bottle,18,68,21,,
18,27,vase,-1,0,,,
19,28,box,-1,0,,,
20,29,curtain,-1,0,,,
21,31,plate,22,196,1,,
22,32,curtain,1,4969,3,,
23,35,box,-1,0,,,
24,36,lamp,41,1813,11,,
25,38,curtain,-1,0,,,
26,39,lamp,53,1299,26,,
27,40,vase,17,318,2,,
28,44,lamp,-1,0,,,
29,46,vase,-1,0,,,
30,47,plant,13,639,2,,
31,48,chair,49,870,2,,
32,50,window,-1,0,,,
33,51,bowl,-1,0,,,
34,52,curtain,-1,0,,,
35,54,door,7,6859,1,,
36,55,lamp,67,1020,38,,
37,56,plant,-1,0,,,
38,57,curtain,-1,0,,,
39,60,window,-1,0,,,
