gt_relation_index,subject_object_id,object_object_id,predicate,subject_pred_original_id,object_pred_original_id,hit_at_1
0,27,4,on,-1,0,0
1,46,4,on,-1,0,0
2,17,4,on,12,0,0
3,18,5,on,21,18,0
4,5,9,with,18,4,0
5,5,12,with,18,22,0
6,5,13,with,18,23,0
7,5,3,with,18,25,0
8,5,48,with,18,33,0
9,5,7,with,18,28,0
10,5,6,with,18,20,0
11,5,11,with,18,29,0
12,11,9,near,29,4,0
13,9,11,near,4,29,0
14,11,6,near,29,20,0
15,6,11,near,20,29,0
16,6,7,near,20,28,0
17,7,6,near,28,20,0
18,7,48,near,28,33,0
19,48,7,near,33,28,0
20,48,3,near,33,25,0
21,3,48,near,25,33,0
22,3,13,near,25,23,0
23,13,3,near,23,25,0
24,13,12,near,23,22,0
25,12,13,near,22,23,0
26,12,9,near,22,4,0
27,9,12,near,4,22,0
28,14,5,on,30,18,0
29,14,18,near,30,21,0
30,18,14,near,21,30,0
